Striker_ID,Nationality,Footedness,Marital Status,Goals Scored,Assists,Shots on Target,Shot Accuracy,Conversion Rate,Dribbling Success,Movement off the Ball,Hold-up Play,Aerial Duels Won,Defensive Contribution,Big Game Performance,Consistency,Penalty Success Rate,Impact on Team Performance,Off-field Conduct
1,Spain,Left-footed,No,17.48357077,10.77853264,34.79548806,0.6778361076,0.1662410863,0.7570612997,50.92192442,71.80640912,15.68253198,30.41221544,6.152480636,0.8203142542,0.9227273822,8.570370165,11.45138759
2,France,Left-footed,Yes,14.30867849,13.72824992,31.47243578,0.5448814284,0.1927740665,0.7968184661,61.39614989,53.72686554,19.84398256,26.47491311,6.093171783,0.8033207318,0.6789839497,3.444638075,8.243688928
3,Germany,Left-footed,No,18.23844269,3.804297279,25.41741259,0.5181801117,0.160379004,0.6668691617,65.86394467,60.45222709,20.09008436,24.1641161,3.408713655,0.766540366,0.8438579291,8.4294913,9.506834947
4,France,Right-footed,No,22.61514928,9.68890771,20.47144256,0.5996625543,0.1846019235,0.6387763265,88.87687657,60.51197902,22.36315173,44.12998912,6.339819617,0.6117982431,0.6629973373,6.532551884,8.19965263
5,France,Left-footed,Yes,13.82923313,6.048072293,29.8875632,0.5829815377,0.1053192667,0.5914849473,75.56553125,54.98215807,13.16570818,37.85932302,8.465658164,0.701638286,0.9065376272,8.414915422,6.665333238
6,Brazil,Right-footed,No,13.82931522,6.538623849,27.7543977,0.5546771951,0.2106646854,0.617458947,56.64518431,46.27534452,22.96283637,43.79405398,4.451535762,0.8341780775,0.7741954484,8.553863385,3.516168131
7,Germany,Right-footed,Yes,22.89606408,6.222818227,31.26635254,0.6696387447,0.2000602738,0.9949094425,74.86036289,63.22974504,6.478041842,46.90472686,9.096965302,0.644877997,0.9268583236,10.21583012,8.410911374
8,Germany,Right-footed,No,18.83717365,5.408027691,29.44620261,0.6955305209,0.1591455684,0.8244679581,54.52696011,59.38996028,16.85057724,42.65616993,7.975549642,0.4968230684,0.8491412756,9.706907295,6.448786791
9,Germany,Right-footed,Yes,12.65262807,8.145564884,32.34686901,0.6088406886,0.2329622834,0.5648925634,80.82691054,65.00240469,17.55863079,46.57763176,5.531533356,0.7272893992,0.677677977,9.693143325,6.399329188
10,France,Left-footed,Yes,17.71280022,5.507149651,21.25335352,0.7477530081,0.2468785069,0.5677542043,65.28875348,54.66399694,23.16663413,39.30467714,6.716940725,0.7358242446,0.9424627732,9.887340638,7.002025488
11,Spain,Left-footed,No,12.68291154,8.811370477,34.22175846,0.4858310886,0.1196220068,0.7481866062,69.06363811,72.20821299,20.11315426,28.13006612,10.19664362,0.7635563416,0.9551245266,7.58275797,11.48972281
12,Germany,Right-footed,No,12.67135123,7.849285672,26.38319723,0.5806340541,0.1618637611,0.7547264797,83.25796648,51.23226219,12.97218473,50.57814181,8.467095627,0.8228518644,0.8882286493,7.064370174,12.80967508
13,France,Right-footed,No,16.20981136,7.283155859,39.52682611,0.5283177679,0.1615428825,0.7548883835,57.12836431,77.12040284,15.07503437,34.10887867,7.01756731,0.8137605812,0.7238412135,8.745634166,8.434415875
14,Brazil,Right-footed,No,5.433598777,5.277309014,20.17568527,0.4133463383,0.1530048449,0.6745044206,56.02881815,42.5236349,20.99340005,30.64403701,6.524633366,0.7758769805,0.7693986046,8.464161903,7.070465552
15,Spain,Left-footed,No,6.375410837,6.269686008,37.15174662,0.5917319314,0.2414737421,0.687454574,64.16400674,64.34770065,19.60466329,38.22082124,7.153218141,0.8695531388,0.8145427217,6.381867527,5.645547165
16,Brazil,Right-footed,Yes,12.18856235,10.26617368,26.38537548,0.5878252492,0.1903086931,0.7327879524,80.38378851,64.75430683,17.10437945,30.87189081,5.976472884,0.5981030219,0.7296289601,7.809646818,8.937080323
17,Spain,Right-footed,No,9.935844398,9.502751563,20.44007397,0.7513449743,0.1867742579,0.7085893006,54.80653925,52.04442932,17.59583105,35.82569618,2.790500989,0.8004581814,0.9692346572,6.929807066,11.5658112
18,France,Left-footed,Yes,16.57123666,5.067334266,21.61279916,0.6630811685,0.09980688178,0.4780699627,41.67844402,64.24393938,23.48083999,43.44053922,11.08435582,0.8126538363,0.8144326472,5.292134183,7.505319226
19,England,Left-footed,Yes,10.45987962,8.297996916,22.75756884,0.4975813176,0.2317709015,0.6770200369,65.48841142,72.7951867,17.41153714,43.48341739,7.310649998,0.6260437714,0.5296651953,9.580921483,3.242007918
20,Spain,Right-footed,No,7.938481493,10.25416137,27.96916162,0.7854092566,0.1380370803,0.6148593566,75.517408,37.83181161,19.55954378,31.02169934,7.79629453,0.5997129391,0.8339355813,7.110398485,9.340099344
21,Brazil,Left-footed,Yes,22.32824384,2.991784157,28.65984842,0.7221033696,0.2029966315,0.7175211419,82.0026175,65.02744807,30.84968294,35.12294627,6.8841845,0.6754057874,0.7651842603,11.09741652,9.970799423
22,France,Left-footed,Yes,13.8711185,9.630080577,20.98409997,0.6582097703,0.2138688469,0.9985259003,65.36838638,35.0672918,12.88158682,50.74333005,5.529766399,0.6838458557,0.7925073444,3.74901546,4.828308719
23,Spain,Right-footed,Yes,15.33764102,6.012128723,24.82951785,0.5773515901,0.2680329298,0.7367481665,65.88573393,50.34335196,10.74078634,44.96400118,6.628151038,0.8253419464,0.7631380634,5.886442454,8.352968367
24,England,Left-footed,Yes,7.876259069,9.711796006,39.99589251,0.5040560763,0.13455898,0.6686470314,81.53900734,76.29166365,23.91794832,60.75065039,3.801210476,0.6885461216,0.8807046417,7.065277673,8.902452032
25,England,Right-footed,No,12.27808638,5.71022253,37.09280219,0.5627793224,0.04902439221,0.7921801502,51.302583,54.18217967,16.60678469,51.80128174,11.554173,0.6643651482,0.9119687779,9.274762195,7.853785396
26,Germany,Left-footed,Yes,15.55461295,2.585353698,28.05426569,0.708874862,0.2091924772,0.7482687887,66.11479225,48.26120036,18.40881236,51.44293069,4.530976003,0.6888366263,0.8283053162,7.798938745,6.418458162
27,Germany,Right-footed,No,9.245032113,3.117372686,25.26602435,0.7884586306,0.2900255591,0.742009449,71.9042389,58.02062271,16.09421811,26.1213145,4.936067432,0.8618632334,0.7660688813,7.620945508,10.03187445
28,Brazil,Right-footed,No,16.87849009,8.14425484,25.84021929,0.7543243528,0.2619473176,0.7606850593,74.49218721,80.67906338,18.7009993,47.63860352,6.119481591,0.7513043374,0.7958662795,4.745472415,7.193240508
29,Spain,Right-footed,Yes,11.99680655,8.779167505,29.29462581,0.5511150578,0.2104829708,0.9056543565,64.90193307,41.68317753,27.99269056,39.46893198,9.57615145,0.7320748975,0.8019599617,4.686117206,5.029627675
30,Spain,Left-footed,No,13.54153125,5.287050125,17.84045204,0.4880382567,0.1754181907,0.5869111565,70.34441012,49.48690088,24.01064229,34.49018196,7.029017999,0.7389994501,0.719756996,7.645009321,3.901051029
31,Germany,Right-footed,No,11.99146694,9.915777376,23.19836424,0.6140886247,0.2403561298,0.7473632077,45.11672647,74.97431683,24.31111756,41.68015341,4.527728408,0.8792060334,0.8578928649,4.271788012,10.52169904
32,Spain,Left-footed,No,24.26139092,3.015439813,13.31991148,0.4231560634,0.15132269,0.607361887,63.41751588,78.57702344,12.91886472,49.45211535,9.508676722,0.6750828273,0.8460042324,5.936244499,9.233327953
33,Spain,Right-footed,Yes,14.93251388,7.801760604,27.79456186,0.6323167714,0.2238178885,0.7555512646,74.53508713,58.96568776,14.24423132,45.00831591,8.462001254,0.8815508291,0.954044124,8.001834658,8.175947094
34,England,Right-footed,No,9.711445355,4.366951401,29.53037158,0.5852397414,0.225273508,0.6081313489,60.17705966,47.60947297,5.804606703,31.21526199,8.076869914,0.7710496299,0.925534978,5.035351455,7.119450726
35,Germany,Left-footed,No,19.11272456,6.044491677,21.61769476,0.5533963498,0.2530104954,0.6582633186,70.58984222,80.95843502,15.95309589,47.42458914,8.431468482,0.7339580618,0.7314325082,10.21071192,6.942003172
36,France,Right-footed,No,8.89578175,8.142196014,36.01790734,0.4405296933,0.3379830019,0.6704910086,74.46872501,75.94442392,24.78351593,33.62412458,11.7887238,1,0.8820298375,9.447872688,5.848526703
37,Germany,Right-footed,Yes,16.04431798,5.418759904,16.41964036,0.6513600107,0.2196207984,0.7975816719,66.57450799,66.78946988,22.58473258,42.16683119,11.37018979,0.644436051,0.7049046617,3.857160003,7.137088711
38,France,Left-footed,No,5.201649381,6.846333367,14.74937584,0.546729916,0.1745518187,0.7918454444,71.70463771,51.87597651,18.89243369,36.96649933,5.626569314,0.714631424,0.8695932101,5.135257514,3.75982557
39,England,Right-footed,Yes,8.359069756,11.01887843,26.57116273,0.4830083164,0.1987212844,0.5754282624,60.37267435,59.50970659,19.88849858,37.81133748,10.24776999,0.6267568761,0.7483385801,2.428445511,6.527872693
40,Brazil,Right-footed,Yes,15.98430618,6.269324391,32.32968812,0.3127737787,0.1115462048,0.7054934111,67.9338872,58.39639919,16.55557229,47.66242975,7.76633638,0.8452461971,0.6976746777,5.434817275,7.378124967
41,Spain,Right-footed,Yes,18.6923329,10.50707634,36.78749384,0.5972485095,0.1652643434,0.6290420145,76.1021617,63.30851305,21.02379441,29.5980628,7.998191632,0.9189188934,0.8280045343,8.532776953,9.219760094
42,England,Right-footed,Yes,15.85684141,4.610879436,21.78781016,0.7772251597,0.1795358781,0.5741495089,71.56972961,74.51001438,23.8293914,59.45195074,3.615458337,0.9169922781,0.5325432872,6.172210115,7.920147073
43,Spain,Left-footed,Yes,14.42175859,9.589412534,32.55076583,0.7661259215,0.1737955801,0.678298295,64.1346873,68.79417041,11.92056606,21.78913931,6.659228469,0.8723948753,0.6249024426,7.921594487,9.589846228
44,Brazil,Left-footed,Yes,13.49448152,12.32470586,24.73044071,0.5542903743,0.2076177436,0.6691517212,72.24216404,49.22623923,21.49823844,34.02332317,5.374352819,0.7302379532,0.7822508116,3.955331363,10.69827021
45,Brazil,Right-footed,No,7.607390048,0.5850664996,23.7916089,0.539778794,0.1588790034,0.9426716486,77.14609791,73.7649645,24.66217435,43.7021189,8.65611763,0.7134759023,0.8082441767,8.595950509,10.11634019
46,England,Left-footed,Yes,11.40077896,5.609314234,31.18561956,0.6468774256,0.2560515334,0.7432959825,49.50058721,63.1313214,17.92449856,45.84314166,9.142161001,0.5828830228,0.763068123,5.889781544,8.941019695
47,Brazil,Right-footed,No,12.69680615,9.731216382,29.56626015,0.5001614561,0.2000103532,0.5622382499,81.59074065,66.87065796,23.50350306,38.99524279,2.851027298,0.9535873535,0.6420563701,7.024339365,8.023725358
48,France,Left-footed,No,20.28561113,7.390863842,13.9652549,0.63017919,0.1995349839,0.6435225996,66.63745261,74.66540859,34.07327222,39.42609297,6.955930272,0.7968978078,0.7182108158,6.814250997,6.038423983
49,Brazil,Right-footed,Yes,16.71809145,9.11343762,35.33578245,0.6766080278,0.1836052642,0.8021383295,74.25489933,48.8841975,19.47828604,44.10550085,9.24372301,0.7008043095,0.8391209327,4.456902958,9.479888103
50,Spain,Right-footed,No,6.184799223,6.18804444,34.66063948,0.7226933224,0.2077595342,0.9088442773,81.97246924,59.64174421,21.96653525,37.68930523,6.626642075,0.8828056889,0.8581781771,4.693831337,11.35949476
51,Spain,Right-footed,No,16.62041985,8.259769362,20.62106109,0.5899845924,0.2412549132,0.5414016688,56.28326303,54.68545449,16.30971458,53.93181258,8.45812729,0.6527235483,0.7983776882,8.935588938,8.684212079
52,Spain,Right-footed,No,13.0745886,7.532968294,27.77062473,0.579632625,0.1566434892,0.5120075615,62.90558998,44.32140575,20.90625581,48.39349114,7.702330935,0.7906622034,0.9156833781,7.797984315,11.8345183
53,Spain,Right-footed,No,11.61539,11.50334618,28.4582113,0.5122017413,0.1670941755,0.8870965175,67.11451304,63.46709978,22.30135812,48.72824351,7.683320464,0.7327370866,0.8397397023,9.100098083,4.948856584
